batch,priority_rank,company_name,email,phone,website,contact_person,role,warmth,deye_knowledge,battery_experience,lead_score,hot_score,launch_angle,notes
B1,1,HT Solar Nederland Projects B.V.,info@htsolarnederland.nl,,htsolarnederland.nl,,,WARM,JA (Deye dealer),JA - Deye dealer,92.0,0.0,Wholesale/Deye-fit,Van den Bergsweg 3 7442CK Nijverdal - groothandel + installateur - potentieel voor Deye wholesale partnership
B1,2,Offgridcentrum.nl,info@offgridcentrum.nl,,offgridcentrum.nl,,,WARM,JA (verkoopt Deye),JA - Victron + Deye,90.0,0.0,Deye/Victron-cross-sell,Officieel Victron dealer die ook Deye verkoopt - ideale prospect
B1,3,BPath Energy,info@bpathenergy.nl,,bpathenergy.nl,,,WARM,JA (Deye shop),JA - Deye shop,90.0,0.0,Deye-depth/assortiment,Verkoopt Deye batterijen en hybride omvormers - levert NL + buitenland
B1,4,OnzeStroom B.V.,info@onzestroom.nl,085-620 04 77,onzestroom.nl,Mick Bakker,Oprichter,WARM,,JA,78.0,24.0,Landelijke installateur + bestaande engagement,Landelijke dekking
B1,5,Bliq Energy,info@bliq.energy,,bliq.energy,,,WARM,JA (Deye handleidingen),JA - Energiemanagement,72.0,0.0,EMS + Deye-combinatie,Deye+Sofar dealer met focus op dynamisch energiehandelen
B1,6,Schulte Energie & Techniek,info@schulte-energie-techniek.nl,,schulte-energie-techniek.nl,,,WARM,,JA - Slimmerik systeem,68.0,0.0,Support-first familiebedrijf,Familiebedrijf met thuisbatterij focus - goede supportstructuur
B1,7,KUKO Energy Solutions,info@ex.comkuko.nl,,kuko.nl,,,WARM,,JA - Deye All-in-1 systemen,60.0,0.0,All-in-1/Deye specialist,Deye Sun-10K-SG04LP3 dealer - NL + België - B2B groothandel portal
B1,8,Bonk Elektro B.V.,info@bonkelektro.nl,,bonkelektro.nl,,,WARM-MIDDEL,,JA - thuisbatterij + dynamische energiehandel,45.0,0.0,Dynamische energiehandel + batterij,Finsestraat 1 Deventer - actief op EPEX/onbalansmarkt
B1,9,NKON.nl,info@nkon.nl,,nkon.nl,,,Google Deye Nederland,WARMMIDDEL,JA - Deye dealer,37.0,0.0,Deye-conversie handelspartner,Pylontech + Deye dealer
B1,10,InstallPro Fix,info@installprofix.nl,,installprofix.nl,,,Google zoekopdracht,WARM,JA - thuisbatterij,35.0,0.0,Deye-intentie test,Recente research hit 2026-03-22
