batch,rank,company_name,email,phone,website,province,contact_person,warmth,deye_knowledge,battery_experience,lead_score,hot_score,segment,notes
A0900,1,Recharged Zakelijk,info@recharged.nl,,recharged.nl,Den Hoorn (ZH),,WARM,,JA - zakelijk,67.0,0.0,installer,Zakelijke focus - goede prospect
A0900,2,Thuisbatterij Baas,klanten@thuisbatterijbaas.nl,043 204 15 81,thuisbatterijbaas.nl,Maastricht (LB),Tim (blijkt uit reviews),WARM-MIDDEL,NIET,JA,65.0,0.0,installer,KvK 90525159 - Punterweg 5 Maastricht - goede reviews (Trustpilot) - Marstek partner (let op: concurrent Deye?)
A0900,3,Zonzo Duurzame Energie,info@zonzo.nl,,zonzo.nl,Bergecht (NB),,WARM,NIET,JA - Sigenergy/SMA/Sungrow,64.0,0.0,installer,17 jaar ervaring - 11-50 medewerkers - zakelijke batterijen 458kWh - regio NB/Gelderland - Wattmaestro EMS partner
A0900,4,ZakelijkeBatterij.nl,info@zakelijkebatterij.nl,085 060 4326,zakelijkebatterij.nl,'s-Gravenzande (ZH),,WARM,,JA - zakelijke batterijen (100-932 kWh),63.0,0.0,installer,KvK 89243188 - Merken: Kstar
A0900,5,TekPower B.V.,info@tekpower.nl,+31 (0)71 204 8655,tekpower.nl,Hazerswoude-Rijndijk (ZH),,WARM,NIET,JA - megabatterijen zakelijk,63.0,0.0,installer,Familiebedrijf 6+ jaar ervaring - richt zich op C&I markt - KvK 75703564
A0900,6,ELIX B.V.,klantenservice@elix.nl,085 303 17 21,elix.nl,Leusden (UT)/Drenthe/NB,,WARM,NIET,JA - grootschalige zakelijke batterijen (Huawei),63.0,0.0,installer,3 vestigingen (Leusden/Tynaarlo/Sint-Oedenrode) - KvK 81836864 - complete service van advies tot onderhoud
A0900,7,Energreen NL,info@energreen.nl,,energreen.nl,Apeldoorn (GE),,MIDDEL-WARM,NIET,JA - thuisbatterij + zakelijk,60.0,0.0,installer,Zakelijke batterijen + thuisbatterijen - regio Apeldoorn/Deventer/Zutphen
A0900,8,Eco Solar Energy B.V.,info@ecosolarenergy.nl,ONBEKEND (formulier),ecosolarenergy.nl,Varsseveld (GE),,WARM,NIET,JA - 2.5-2510 kWh batterijopslag,60.0,0.0,installer,Batterijopslag specialist - merken: SolarEdge
A0900,9,Valk Energieopslag,info@valkenergieopslag.nl,,valkenergieopslag.nl,De Lier (ZH),,WARM,,JA - zakelijke batterijen,55.0,0.0,installer,Vestigingen in De Lier (Westland) en Hellevoetsluis - MKB/agrariërs/horeca/retail/logistiek - piekafvlakking specialist - EIA voordelen
A0900,10,Sollit,info@sollit.com,,sollit.com,Nederland (landelijk),,MIDDEL-WARM,NIET,JA - duurzame energie installaties,55.0,0.0,installer,Nieuws over Energiewet 2026 - ism wijzigingen voor duurzame installateurs - potentieel voor inhoudelijke samenwerking
