batch,rank,company_name,email,phone,website,province,contact_person,warmth,deye_knowledge,battery_experience,lead_score,hot_score,segment,notes
B1200,1,Greenworld,info@greenworld.nl,077-465 30 04,greenworld.nl,Zittert (LB),,MIDDEL-WARM,NIET,JA - Pylontech/Enphase/Huawei/Growatt,53.0,0.0,installer,Sinds 2014 ervaring met thuisbatterijen in Limburg - showroom in Maasbree - 09:00-12:00 bereikbaar
B1200,2,FDB Techniek,info@fdbtechniek.nl,0518-419424,fdbtechniek.nl,Friesland (FR),,MIDDEL-WARM,NIET,JA - zonnepanelen + thuisbatterij,53.0,0.0,installer,Nij Toerenburg 15A 9076 MA Sint Annaparochie - installatiewerkzaamheden in Noordwest Friesland en heel Noord-Nederland - potentieel voor FR dekking
B1200,3,Belinus,info@belinus.com,,belinus.com,Nederland (NL),,WARM-MIDDEL,NIET,JA - batterijopslag residentieel+zakelijk,52.0,0.0,installer,Benelux focus - 40% meer zonnepaneelinstallaties 2025 - actief in NL+BE - potentieel partnership
B1200,4,Synergroen,info@synergroen.nl,,synergroen.nl,Nederland (NL),,WARM,NIET,JA - batterij + zonnepanelen,52.0,0.0,installer,EPBD richtlijn - batterij verplicht per mei 2026 - goede timing voor Deye conversie
B1200,5,Agro Zon,info@agrozon.nl,,agrozon.nl,ONBEKEND (ZH),,MIDDEL-WARM,,JA - zakelijke energieopslag,48.0,0.0,installer,Recent update - Agrarische sector focus - potentieel voor energieopslag in bedrijfspanden
B1200,6,Zonnepaneel Zeeland,info@zonnepaneelzeeland.nl,+31 (0)115 728800,zonnepaneelzeeland.nl,Terneuzen (ZL),,WARM-MIDDEL,NIET,JA - thuisbatterij,45.0,0.0,installer,Communicatielaan 254538BV Terneuzen - KVK 22058281 - InstallQ erkend - regio Zeeland
B1200,7,ElektroMakers,info@elektromakers.nl,ONBEKEND (formulier),elektromakers.nl,Zeeland (ZL),,WARM-MIDDEL,NIET,JA - thuisbatterij specialist (3.5kWh+),45.0,0.0,installer,Elektromonteur in Zeeland - Erkend installateur - regio Walcheren/Zeeland - thuisbatterijen voor particulier en zakelijk - capaciteit vanaf 3.5kW
B1200,8,PRITZ Zonnestroom,info@pritz.nl,,pritz.nl,Lelystad (FL),,MIDDEL-WARM,NIET,JA - zonnepanelen + thuisbatterij,45.0,0.0,installer,Actief in heel Flevoland (Lelystad/Almere/Urk/Emmeloord/Dronten) - totaalpakket verduurzaming - potentieel voor FL dekking
B1200,9,Nordzon,info@nordzon.nl,06 15 53 92 43,nordzon.nl,Zeewolde (FL),,WARM-MIDDEL,NIET,JA - thuisbatterij specialist FL/GV/OV/DR/Friesland/NH,45.0,0.0,installer,Levert in FL
B1200,10,MHELIOS by Midea,info@mheliosbymidea.nl,085-800 12 11,mheliosbymidea.nl,Nederland (NL),,WARM-MIDDEL,NIET,JA - Midea thuisbatterij,45.0,0.0,installer,Exclusief importeur Midea thuisbatterij - actief in installateurs netwerk - nieuwe speler met potentieel
