batch,rank,company_name,email,phone,website,province,contact_person,warmth,deye_knowledge,battery_experience,lead_score,hot_score,segment,notes
B1200,1,MHELIOS by Midea,info@mheliosbymidea.nl,085-800 12 11,mheliosbymidea.nl,Nederland (NL),,WARM-MIDDEL,NIET,JA - Midea thuisbatterij,45.0,0.0,installer,Exclusief importeur Midea thuisbatterij - actief in installateurs netwerk - nieuwe speler met potentieel
B1200,2,Saman Groep,info@saman-groep.nl,,saman-groep.nl,Zeeland/NB (landelijk),Daniël Lodders (Algemeen directeur),MIDDEL,WARMWarm,JA - volledige breedte energietransitie incl batterijen,67.0,0.0,installer,100+ jaar ervaring - vestigingen door heel NL behalve FR/GN - 30-35% minder zonlicht-panelen maar batterijverkoop stijgt - goede prospect voor zakelijke batterijen
B1200,3,BatterijNet,info@batterijnet.nl,085 110 93 50,batterijnet.nl,Nederland (landelijk),,MIDDEL,NIET,JA - thuisbatterij,67.0,0.0,installer,Landelijk netwerk van batterijinstallateurs - aggregator/partner model - potentieel voor partnership
B1200,4,Batterijenhuis,info@batterijthuis.com,0850781279,batterijthuis.com,Landelijk,,MIDDEL,NIET (Duracell),JA,55.0,0.0,installer,Verkoopt Duracell - potentieel voor switch naar Deye?
B1200,5,PureSolar,info@puresolar.nl,+31 40 760 0977,puresolar.nl,Limburg (LB),Angela (adviseur),MIDDEL,NIET,JA - thuisbatterij,53.0,0.0,installer,Adviesgesprekken in Limburg - 50-70% eigenverbruik mogelijk - potentieel voor Z-Nederland dekking
B1200,6,Simply-Offgrid.nl,support@simply-offgrid.nl,,simply-offgrid.nl,Landelijk (webshop),,MIDDEL,NIET,JA - Victron specialist,47.0,0.0,installer,Erkend Victron specialist - geen Deye kennis maar mogelijk switch potentieel
B1200,7,Verdasol,info@verdasol.nl,,verdasol.nl,Nederland (landelijk),,MIDDEL,NIET,JA - thuisbatterij + subsidie,47.0,0.0,installer,Kennisbank met subsidie info per provincie (Overijssel
B1200,8,jeroen.nl,info@groenopgewekt.nl,085-4011246,jeroen.nl,Leeuwarden,,MIDDEL,,JA - B2B Scrape,45.0,12.0,installer,Gevonden via Leeuwarden search
B1200,9,Marstek Nederland,info@marstek.nl,085 401 6430,marstek.nl,Barneveld (GE),,MIDDEL (CONCURRENT),NIET (eigen merk),JA - Plug & Play thuisbatterij (concurrent),45.0,0.0,installer,Officieel NL/BE distributor Marstek Venus E 3.0 - Barneveld vestiging - 9.3/10 reviews - Concurrent maar nuttig voor marktinzicht
B1200,10,solvari.nl,info@icharge.nu,0478234800,solvari.nl,Den Haag,,MIDDEL,,JA - B2B Scrape,45.0,0.0,installer,Gevonden via Den Haag search
